Linea;Material;Texto breve material;Grupo de Artículos;Unidad de Medida;Texto completo material Español;Precio USD
1;1000000006;RESORT.N°6695415NL /DVMX BJ;1125;UNI;Repuesto para bomba centrífuga marca BYRON JACKSON modelo DVMX 6x8x11B.;7259,56
2;1000000007;SELL.M.31,75MM J.CRANE-FLEXIBOX 11500XH*;1130;UNI;SELLO MECANICO.;5942,45
